#gene,symbol,ABCC8,APOE,CDC123,CDKAL1,COBLL1,GCKR,GIPR,HNF1A,HNF4A,HTT,IGF2BP2,KCNJ11,SLC16A11,SLC30A8,TCF7L2,TGFB1,TLE4,TMCC,WDR13,WFS1,NumberOfSamples
ENSG00000138663,COPS4,1,1,1,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138668,HNRNPD,1,1,1,1,1,1,0.638,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138669,PRKG2,1,1,1,0.509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138709,LARP1B,1,1,1,1,1,1,1,0.587,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138735,PDE5A,1,1,1,1,1,1,1,1,4.387,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138744,NAAA,2.351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138767,CNOT6L,1,1,1,1,1,1,1,1,1,1,1,1.904,1,1,1,1,1,1,1,1,1
ENSG00000138780,GSTCD,1,1,1,1,1,1,1,1,1,1,1,1.58,1,1,1,1,1,1,1,1,1
ENSG00000138792,ENPEP,1,1,1,1,1,1,1,0.43,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138794,CASP6,1,1,1,1,1,1,1,1,0.64,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138801,PAPSS1,1,1,1,1,1,1,1,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138821,SLC39A8,1,1,1,1,1,1,1,1,1,1,1,2.274,1,1,1,1,1,1,1,1,1
ENSG00000138867,GUCD1,1,1,1,1,1,1,1,1,0.519,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139146,SINHCAF,1,1,1,1,1,1,1,1,1.714,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139154,AEBP2,1,1,1,1,1,1,1,0.631,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139160,ETFBKMT,1,1,1,1,1,1,1,1,0.593,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139178,C1RL,1,1,1,1,1,1,1,1,0.504,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139187,KLRG1,1,1,1,1,1,1,1,1,1,1,1,1,0.55,1,1,1,1,1,1,1,1
ENSG00000139190,VAMP1,1,1,1,1,0.557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139233,LLPH,1,0.467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139266,MARCHF9,1,1,1,1,1,1,1,1,1,1,1,0.658,1,1,1,1,1,1,1,1,1
ENSG00000139278,GLIPR1,1,1,1,1,1,1,1,2.641,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139514,SLC7A1,1,1,1,1,1,1,0.623,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139531,SUOX,1,1,1,1,1,1,1,1,0.629,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139618,BRCA2,1,1,1,1,1,1,0.433,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139629,GALNT6,1,1,1,1,1,1,1,3.221,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139637,MYG1,1,1,1,1,1,1,1,1,1,1,1,0.149,1,1,1,1,1,1,1,1,1
ENSG00000139645,ANKRD52,1,1,1,1,1,1,1,1,0.647,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139746,RBM26,1,1,1,1,1,1,1,1,1,1,1,1.561,1,1,1,1,1,1,1,1,1
ENSG00000139890,REM2,1,1,1,1,1,1,1,1,1,0.538,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139899,CBLN3,1,1,1,1,1,1,1,1,0.664,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139921,TMX1,1,1,1,1,1,1,1,1,0.667,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139973,SYT16,1,1,1,1,1,1,1,1,3.279,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000139977,NAA30,1,1,1,1,1,1,1,1,1,1,1,1.896,1,1,1,1,1,1,1,1,1
ENSG00000139998,RAB15,1,1,1,1,1,1,1,1,1,1,1,0.609,1,1,1,1,1,1,1,1,1
ENSG00000140057,AK7,1,1,1,1,1,1,1,0.592,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140157,NIPA2,1,1,1,1,1.533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140199,SLC12A6,1,1,1,1,1,1,1,1,1,1,1,1.497,1,1,1,1,1,1,1,1,1
ENSG00000140259,MFAP1,1,1,1,1,0.638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140274,DUOXA2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.151,1
ENSG00000140319,SRP14,1,1,1,1,1,1,1,1,1.554,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140368,PSTPIP1,1,1,0.142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140386,SCAPER,1,1,1,0.666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140396,NCOA2,1,1,1,1,1,1,1,1,1,1,1,1.566,1,1,1,1,1,1,1,1,1
ENSG00000140398,NEIL1,1,1.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140464,PML,1,1,1,1,1,1,1,1,1,1,1,0.557,1,1,1,1,1,1,1,1,1
ENSG00000140526,ABHD2,1,1,1,1,1,1,1,1,0.487,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140575,IQGAP1,1,1,1,1,1,1,0.618,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140577,CRTC3,1,1,1,1,1,1,1,1,0.593,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140682,TGFB1I1,1,1,1,1,1,1,1,1,1,1,1,0.615,1,1,1,1,1,1,1,1,1
ENSG00000140832,MARVELD3,1,1,1,1,1,1,1,1,0.577,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140835,CHST4,1,1,1,1,1,1,1,1,1,1,1,18.542,1,1,1,1,1,1,1,1,1
ENSG00000140848,CPNE2,1,1,1,1,1,1,1,2.152,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140931,CMTM3,1,1,1,1,1,1,1,1,1.726,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140950,MEAK7,1,1,1,1,1,1,1,1,0.644,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000140961,OSGIN1,1,1,1,1,1,1,1,1,1,1,0.378,1,1,1,1,1,1,1,1,1,1
ENSG00000140987,ZSCAN32,1,1,1,1,1,1,1,1,0.648,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141012,GALNS,1,1,1,1,1,1,1,1,1,1,1,0.626,1,1,1,1,1,1,1,1,1
ENSG00000141052,MYOCD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.048,1,1,1,1,1
ENSG00000141194,OR4D1,1,1,1,0.042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141232,TOB1,1,1,1,1,1,1,1,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141337,ARSG,1.574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141376,BCAS3,1,1,1,1,1,1,1,1,1.678,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141378,PTRH2,1,1,1,1,1,1,1,1,0.637,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141424,SLC39A6,1,1,1,1,1,1,1,1,1.642,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141433,ADCYAP1,1,1,1,1,1,1,1,1,19.49,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141456,PELP1,1,1,1,1,1,1,1,1,1,1,1,0.607,1,1,1,1,1,1,1,1,1
ENSG00000141480,ARRB2,1,1,1,1,1,1,1,1.588,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141526,SLC16A3,1,1,1,1,1,1,2.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141527,CARD14,1,1,1,1,1,1,1,1,3.365,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141556,TBCD,1,1,1,1,1,1,1,1.527,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141564,RPTOR,1,1,1,1,1,1,1,1,1,1,1,0.588,1,1,1,1,1,1,1,1,1
ENSG00000141570,CBX8,1,1,1,1,1,1,1,1,1,1,1,0.641,1,1,1,1,1,1,1,1,1
ENSG00000141580,WDR45B,1,1,1,1,1,1,1,1,0.56,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141646,SMAD4,1,1,1,1,1,1,1,1,1,1,1,1.504,1,1,1,1,1,1,1,1,1
ENSG00000141655,TNFRSF11A,1,1,1,1.683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141736,ERBB2,1,1,1,1,1,1,1,1.528,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000141965,FEM1A,1,1,1,1,1,1,1,1,1,1,1,0.656,1,1,1,1,1,1,1,1,1
ENSG00000142002,DPP9,1,1,1,1.575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142039,CCDC97,1,1,1,1,1,1,1,1,1,1,1,0.655,1,1,1,1,1,1,1,1,1
ENSG00000142178,SIK1,0.274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142192,APP,1,1,1,1,1,1,1,1,1.52,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142208,AKT1,1,1,1,1,1,1,1,1,1,1,1,0.573,1,1,1,1,1,1,1,1,1
ENSG00000142235,LMTK3,1,1,1,1,1,1,1,1,1,1,1,0.43,1,1,1,1,1,1,1,1,1
ENSG00000142347,MYO1F,1,1,1,1,1,1,2.121,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142408,CACNG8,1,1,1,0.414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142444,TIMM29,1,1,1,1,1,1,1.562,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142453,CARM1,1,1,1,1,1,1,1,1.565,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142528,ZNF473,1,1,1,1,1,1,1,1,1,1,1,1,0.661,1,1,1,1,1,1,1,1
ENSG00000142530,FAM71E1,1,1,1,1,1,1,1,1,1,1,1,0.492,1,1,1,1,1,1,1,1,1
ENSG00000142556,ZNF614,1,1,1,0.606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142599,RERE,1,1,1,1,1,1,1,1,1.661,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142609,CFAP74,1,1,1,1,1,1,1,1,2.352,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142675,CNKSR1,1,1,1,1,1,1,1,1,1.562,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142686,C1orf216,1,1,1,1,0.667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142892,PIGK,1,1,1,1,1,1,1,0.585,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142920,AZIN2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.646,1,1
ENSG00000143033,MTF2,1,1,1,1,1,1,1,1,1,1,1,1.821,1,1,1,1,1,1,1,1,1
ENSG00000143036,SLC44A3,1,1,1,1,1,1,1,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143126,CELSR2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.613,1,1,1,1,1,1
ENSG00000143157,POGK,1,1,1,1,1,1,1,1,1.53,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143162,CREG1,1,1,1,1,1,1,1,0.636,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143167,GPA33,1,1,1,1,1,1,1,1,1,1,1,1,0.23,1,1,1,1,1,1,1,1
ENSG00000143178,TBX19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.582,1,1,1,1
ENSG00000143179,UCK2,1,1,1,1,1,1,1,1,0.595,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143190,POU2F1,1,1,1,1,1,1,1,1,1,1,1,1,0.661,1,1,1,1,1,1,1,1
ENSG00000143194,MAEL,1,1,1,0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143256,PFDN2,1,1,1,1,1,1,1,1,1,1,1,0.527,1,1,1,1,1,1,1,1,1
ENSG00000143324,XPR1,1,1,1,1,1,1,0.625,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143355,LHX9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.741,1,1
ENSG00000143368,SF3B4,1,1,1,1,1,1,1,1,1,1,1,0.582,1,1,1,1,1,1,1,1,1
ENSG00000143373,ZNF687,1,1,1,1,1,1,1,1,1,1,1,0.635,1,1,1,1,1,1,1,1,1
ENSG00000143374,TARS2,1,1,1,1,0.621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143401,ANP32E,1,1,1,1,1,1,1,1,1,1,1,1.769,1,1,1,1,1,1,1,1,1
ENSG00000143416,SELENBP1,1,1,1,1,1,1,1,1,0.591,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143429,LSP1P4,1,1,1,1,1,1,2.058,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143442,POGZ,1,1,1,1,1,1,1,1,1,1,1,1,0.659,1,1,1,1,1,1,1,1
ENSG00000143457,GOLPH3L,1,1,1,1,1,1,1,1,1,1,1,1.719,1,1,1,1,1,1,1,1,1
ENSG00000143498,TAF1A,1,1,1,0.633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143507,DUSP10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.63,1,1
ENSG00000143514,TP53BP2,1,1,1,1,1,1,1,1,1.921,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143543,JTB,1,1,1,1,1,1,2.28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143575,HAX1,1,1,1,1,1,1,1.507,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143624,INTS3,1,1.535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143630,HCN3,1,1,1,1,1,1,1,1,0.658,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143633,C1orf131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.647,1,1,1,1,1,1
ENSG00000143761,ARF1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.639,1,1,1,1,1,1
ENSG00000143786,CNIH3,2.055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143811,PYCR2,1,1,1,1,1,1,1,1,1,1,1,0.66,1,1,1,1,1,1,1,1,1
ENSG00000143815,LBR,1,1,1,1,1,1,1,1,1,1,1,1.586,1,1,1,1,1,1,1,1,1
ENSG00000143842,SOX13,1,1,1,1,1,1,1,1,0.65,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143850,PLEKHA6,1,1,1,1,1,1,1,1,0.669,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143995,MEIS1,1,1,1,1,1,1,1,1,2.104,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144040,SFXN5,1,1,1,1,1,1,1,1,0.398,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144134,RABL2A,1,1,1,1,1,1,1,1,1,1,1,1,0.661,1,1,1,1,1,1,1,1
ENSG00000144136,SLC20A1,1,1,1,1,1.706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144152,FBLN7,1,1,1,1,1,1,1,1,1,1,1,0.536,1,1,1,1,1,1,1,1,1
ENSG00000144224,UBXN4,1,1,1,1,1,1,1,0.651,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144278,GALNT13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.668,1,1,1,1,1,1
ENSG00000144320,LNPK,1,1,1,1,1,1,1,1,1,1,1,1.678,1,1,1,1,1,1,1,1,1
ENSG00000144366,GULP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.64,1,1,1,1,1,1,1
ENSG00000144455,SUMF1,1.537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144468,RHBDD1,1,1,1,1,1,1,1,0.597,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144566,RAB5A,1,1,1,1,1.502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144579,CTDSP1,1,1,1,1,1,1,1,1,1,1,1,0.632,1,1,1,1,1,1,1,1,1
ENSG00000144645,OSBPL10,1,1,1,1,1,1,1,1,1,1,1,1,0.667,1,1,1,1,1,1,1,1
ENSG00000144647,POMGNT2,1,1,1,1,1,1,1,1,1,1,1,0.589,1,1,1,1,1,1,1,1,1
ENSG00000144649,GASK1A,1,1,0.132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144713,RPL32,1,1,1,1,1,1,1.564,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144791,LIMD1,1,1,1,1,1,1,1,1,1,1,1,1,0.646,1,1,1,1,1,1,1,1
ENSG00000144840,RABL3,1,1,1,1,1,1,1,0.591,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144852,NR1I2,2.539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000144908,ALDH1L1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.651,1,1,1,1,1,1
ENSG00000145246,ATP10D,1,1,1,1,1,1,1,1,0.586,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145331,TRMT10A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.656,1,1,1
ENSG00000145349,CAMK2D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.525,1,1,1,1,1
ENSG00000145354,CISD2,1,1,1,1,1,1,1,0.612,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145375,SPATA5,1,1,1,1,1,1,1,1,1,1,1,1,0.597,1,1,1,1,1,1,1,1
ENSG00000145388,METTL14,1,1,1,1,1,1,1,0.518,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145425,RPS3A,1,1,1,1,1,1,1.741,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145439,CBR4,1,1,1,1,1,1,1,0.577,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145491,ROPN1L,1,1,1,1,1,1,1,1,2.979,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145495,MARCHF6,1,1,1,1,1,1,0.646,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145506,NKD2,1,0.368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145555,MYO10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.607,1,1,1
ENSG00000145675,PIK3R1,1,1,1,1,1,1,1,0.507,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145685,LHFPL2,1,1,1,1,1,1,1,1,1,1,1,1.667,1,1,1,1,1,1,1,1,1
ENSG00000145687,SSBP2,1,1,1,1,1,1,1,1,1.805,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145777,TSLP,1,1,1,1,1,1,1,1,4.875,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145782,ATG12,1,1,1,1,1,1,1,1,1,1,1,1.583,1,1,1,1,1,1,1,1,1
ENSG00000145850,TIMD4,1,1,1,1,1,1,1,1,0.047,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000145882,PCYOX1L,1,1,1,1,1,1,1,1,1,1,1,0.664,1,1,1,1,1,1,1,1,1
ENSG00000146067,FAM193B,1,1,1,1,1,1,1,1.559,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146221,TCTE1,1,1,1,0.299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146263,MMS22L,1,1,1,1,1,1,1,1,1,1,1,2.147,1,1,1,1,1,1,1,1,1
ENSG00000146285,SCML4,1,1,1,1,1,1,1,1,2.924,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146409,SLC18B1,1,1,1,1,1,1,1,1,0.468,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146414,SHPRH,1,1,1,1,1,1,1,1,1,1,1,1.618,1,1,1,1,1,1,1,1,1
ENSG00000146535,GNA12,1,1,1,1,1,1,1,1,1,1,1,0.652,1,1,1,1,1,1,1,1,1
ENSG00000146733,PSPH,1,1,1,1,1,1,1.708,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146757,ZNF92,1,1,1,1,1,1,1,1,1,1,1,2.306,1,1,1,1,1,1,1,1,1
ENSG00000146830,GIGYF1,1,1,1,1,1,1,1,1.539,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146834,MEPCE,1,1,1,1,1,1,1,1,1,1,1,0.575,1,1,1,1,1,1,1,1,1
ENSG00000146909,NOM1,1,1,1,1,1,1,1,1,1,1,1,1,0.666,1,1,1,1,1,1,1,1
ENSG00000146918,NCAPG2,1,1,1,1,1,1,1,1,1.518,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146938,NLGN4X,1,1,1,1,1,1,1,1,1.543,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000146950,SHROOM2,1,1,1,1,1,1,1,1.71,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000147010,SH3KBP1,1,1,1,1,1,1,1,1,1,1,1,0.648,1,1,1,1,1,1,1,1,1
ENSG00000147118,ZNF182,1,1,1,0.666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000147144,CCDC120,1,1,1,1,1,1,1,1,1,1,1,0.624,1,1,1,1,1,1,1,1,1
ENSG00000147224,PRPS1,1,1,1,1,1,1,1,0.633,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000147251,DOCK11,1,1,1,1,1,1,1,1,2.56,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000147465,STAR,1,1,1,1,1,1,1,5.569,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000147548,NSD3,1,1,1,1,1,1,1,1,1,1,1,1.566,1,1,1,1,1,1,1,1,1
ENSG00000147586,MRPS28,1,1,1,1,1,1,1.575,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000147669,POLR2K,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.758,1,1,1,1,1,1
ENSG00000147684,NDUFB9,1,1,1,1,1,1,1,1,1,1,1,0.661,1,1,1,1,1,1,1,1,1
ENSG00000147874,HAUS6,1,1,1,1,1,1,1,1,1,1,1,1.795,1,1,1,1,1,1,1,1,1
ENSG00000147905,ZCCHC7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.574,1,1,1,1,1,1
ENSG00000147955,SIGMAR1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000147996,CBWD5,1,1,1,0.648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148019,CEP78,1,1,1,1,1,1,1,1,1,1,1,1.64,1,1,1,1,1,1,1,1,1
ENSG00000148057,IDNK,1,1,1,1,1,1,1,1,0.542,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148143,ZNF462,1,1,1,1,1,1,1,1,1.589,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148218,ALAD,1,1,1,1,1,1,1,1,0.512,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148229,POLE3,1,1,1,1,1,1,1,1,1.621,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148300,REXO4,1,1,1,1,1,1,1.529,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148303,RPL7A,1,1,1,1,1,1,1.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148308,GTF3C5,1,1,1,1,1,1,1.535,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148331,ASB6,1,1,1,1,1,1,1,1,1,1,1,0.667,1,1,1,1,1,1,1,1,1
ENSG00000148337,CIZ1,1,1,1,1,1,1,1,1,1,1,1,0.659,1,1,1,1,1,1,1,1,1
ENSG00000148408,CACNA1B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.578,1,1,1,1,1,1
ENSG00000148488,ST8SIA6,1,1,1,1,1,1,1,1,1,1,1,4.667,1,1,1,1,1,1,1,1,1
ENSG00000148516,ZEB1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.007,1,1
ENSG00000148655,LRMDA,1,1,1,1,1,1,1,1,1.713,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148719,DNAJB12,1,1,1,1,1,1,1,1,1,1,1,0.583,1,1,1,1,1,1,1,1,1
ENSG00000148734,NPFFR1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04,1,1,1,1,1,1
ENSG00000148798,INA,1,1,1,1,1,1,1,1,2.372,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000148824,MTG1,1,1,1,1,1,1,1,1,1,1,1,0.633,1,1,1,1,1,1,1,1,1
ENSG00000148950,IMMP1L,1,1,1,0.667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149016,TUT1,1,1,1,1,1,1,1,1,1,1,1,0.583,1,1,1,1,1,1,1,1,1
ENSG00000149054,ZNF215,1,1,1,1,1,1,1,1,1,1,1,1.888,1,1,1,1,1,1,1,1,1
ENSG00000149084,HSD17B12,1,1,1,1,1,1,1,0.48,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149115,TNKS1BP1,1.509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149124,GLYAT,1,1,1,1,1,1,3.543,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149150,SLC43A1,1,1,1,1,1,1,1,1,0.156,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149177,PTPRJ,1,1,1,1,1,1,1,1,1,1,1,1,0.669,1,1,1,1,1,1,1,1
ENSG00000149179,C11orf49,1,1,1,1,1,1,1,1,1.583,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149182,ARFGAP2,1,1,1,1,1,1,1,1,1,1,1,0.643,1,1,1,1,1,1,1,1,1
ENSG00000149260,CAPN5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.103,1,1,1,1,1,1
ENSG00000149485,FADS1,1,1,1,1,1,1,1,0.648,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149531,FRG1BP,0.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149564,ESAM,1,1,1,2.237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149577,SIDT2,1,1,1,1,1,1,1,1,0.658,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000149599,DUSP15,1,1,1,1,1,1,1.972,1,1,1,1,1,1,1,1,1,1,1,1,1,1
