Gene,log2FoldChange (FC),abs(FC),P-adjusted
PPIP5K2,-0.281017997,0.281017997,0.005681417
ERC1,-0.278659805,0.278659805,1.83205E-07
MED13,-0.277969518,0.277969518,0.000304067
RASAL2,-0.27755592,0.27755592,0.001751739
ABCA5,-0.277304796,0.277304796,0.00091027
PRUNE2,-0.276892202,0.276892202,0.005467881
MKL2,-0.276580984,0.276580984,0.008837694
MAML2,-0.275762308,0.275762308,0.00102827
RALGAPA1,-0.274490649,0.274490649,2.01969E-05
DYNC1I2,-0.274348467,0.274348467,0.001280132
FAM208B,-0.273634196,0.273634196,0.006803137
ZNF91,-0.27191082,0.27191082,0.000923984
TBCK,-0.270271375,0.270271375,0.000540496
TRAPPC12,-0.269862737,0.269862737,0.006123234
GBF1,-0.269536216,0.269536216,0.000381789
RAPGEF2,-0.26900006,0.26900006,0.002800379
AMBRA1,-0.266880268,0.266880268,0.004648305
MBP,-0.266789842,0.266789842,0.005415902
NME7,-0.265533637,0.265533637,0.006424302
FBXW7,-0.26498326,0.26498326,7.64174E-05
SRPK2,-0.264401349,0.264401349,0.000211269
ABCD3,-0.263873978,0.263873978,0.008134512
AVL9,-0.26360154,0.26360154,6.70557E-05
CLTC,-0.262784101,0.262784101,0.000409684
BIRC6,-0.261639863,0.261639863,0.000130484
LYST,-0.25957359,0.25957359,0.001317491
SMCHD1,-0.257903262,0.257903262,0.003794898
UBE2H,-0.256791554,0.256791554,0.001964621
MACF1,-0.255110382,0.255110382,5.23753E-05
RAB28,-0.254103378,0.254103378,0.004602946
PRRC2C,-0.252929557,0.252929557,0.003577407
PI4KA,-0.251687207,0.251687207,0.006728245
VEZT,-0.250207865,0.250207865,0.000187523
RFWD2,-0.24784319,0.24784319,0.003043919
ANKS1A,-0.247322375,0.247322375,0.005463338
PIR,-0.246822555,0.246822555,0.002355497
KMT2C,-0.246820684,0.246820684,0.000694638
SCMH1,-0.245930633,0.245930633,0.002105979
JAZF1,-0.2433584,0.2433584,0.000187337
TRAPPC8,-0.238188193,0.238188193,0.009821146
AKAP9,-0.235012847,0.235012847,0.001058267
NF1,-0.234732602,0.234732602,0.001249735
SPAG9,-0.233568302,0.233568302,0.000224777
MYO1D,-0.228407871,0.228407871,0.006628469
KIAA1468,-0.224361595,0.224361595,0.009785001
CDK13,-0.219330858,0.219330858,0.007637212
FER,-0.21569172,0.21569172,0.002056408
MLLT10,-0.215510486,0.215510486,0.003395727
HSD17B12,-0.209865242,0.209865242,0.00080854
RBM6,-0.208836336,0.208836336,0.006369313
CHD6,-0.208391677,0.208391677,0.005291049
KIAA1598,-0.20613396,0.20613396,0.001197631
SNAP25,-0.203619021,0.203619021,0.001473485
RBM26,-0.202441777,0.202441777,0.004728271
ADK,-0.198978046,0.198978046,0.006701805
TRAPPC9,-0.198058047,0.198058047,0.003834679
AKAP13,-0.197529296,0.197529296,0.006582877
ACBD6,-0.19019423,0.19019423,0.008101062
TNRC6A,-0.188191102,0.188191102,0.002265998
PPP6R3,-0.181509798,0.181509798,0.008912039
ANKRD17,-0.162327889,0.162327889,0.008253002
CADPS,0.173983967,0.173983967,0.001236011
GRIK2,0.17520761,0.17520761,0.000984358
C9orf3,0.179118913,0.179118913,0.002606551
CAMK2D,0.192329706,0.192329706,0.000252591
LPP,0.195215787,0.195215787,0.000793242
FMN2,0.197801229,0.197801229,0.003210045
CDC42BPA,0.203386122,0.203386122,0.009335703
VPS13B,0.206825673,0.206825673,0.001091422
WWOX,0.206854758,0.206854758,0.003554888
LRRC16A,0.210023653,0.210023653,0.008857919
PPP1R9A,0.21063552,0.21063552,0.006265385
UBE2E2,0.21127649,0.21127649,0.001973416
KCNMA1,0.211626363,0.211626363,2.87587E-05
PDXDC1,0.21418511,0.21418511,0.006416617
NBEA,0.214223552,0.214223552,0.000104821
